Real,Prediccion
3149.36,3397.4374457086815
2354.4,2188.46885513714
1241.73,885.8331558269156
2601.44,2474.3358863288213
4037.04,4316.629908502515
1821.18,1953.7758231721227
6014.8,7104.411474789509
6317.74,6227.869350357139
5233.8,6372.348598524013
4813.12,6600.960357088705
4500.48,4444.550013363811
3283.6,3809.3251323442637
5289.8,5365.635368414873
2506.2,2470.4332215803643
3832.08,3859.3429042826265
2065.07,1835.2365533962848
1560.24,1199.3428721279543
2154.12,1867.0729401223643
2756.52,2617.877747050221
1571.68,1383.5660345292508
8118.32,7919.968152130956
1936.38,1546.8714702098887
4709.46,4868.639366060348
2960.01,3131.89338315279
1663.68,1579.5834544639501
2001.96,1600.222972853222
3284.28,3294.2913728728836
4446.56,4323.11414158843
4175.68,4312.016578871264
2210.88,1877.4443635534444
1789.9,1267.7077830661365
2757.0,2630.876939445603
2271.5,2054.8223642855683
5175.3,6393.8696152595
4511.52,4457.22165433553
9456.9,8879.58328584091
2266.98,3160.3299099325777
3477.12,3591.8059560898855
2645.91,2908.26591010584
2238.04,1934.8479394190863
1612.6,1017.630149976224
8791.44,8316.128402218734
4113.06,4162.191083559284
2948.04,2923.024330227836
1943.88,2406.855469178201
4554.72,4554.472965524768
3149.68,3403.878131043193
6158.4,7538.1821253698035
1160.25,606.2577060650483
3533.88,3498.410842206704
9411.12,8820.282034145752
3999.06,4188.618614744497
9126.4,8775.086463889198
3216.92,3138.375680458137
1871.0,1467.8259774593753
4114.74,4420.8746351379905
2924.76,2917.972829196018
6483.51,6194.709464872818
2996.4,2927.9328420758957
2457.76,2298.565905012032
3283.0,3746.143718463869
1970.64,1471.0008310606609
3822.06,4394.610070296616
4302.18,4578.275746348938
4979.0,5110.585286999782
1871.82,2168.5643637786907
4368.06,4459.686956756495
2495.28,2300.4602022395575
1965.42,1724.61611116335
2644.65,2831.3162974076185
3060.72,2992.319706821858
2301.54,2070.4419600105493
2626.2,2478.773252880448
4005.44,4087.295743397184
3699.75,4050.203058371857
3822.17,4382.470652132826
3053.7,3264.44264129998
2111.0,1972.9221403266338
2700.64,2759.01337605797
1752.88,1466.918878633016
3559.9,4095.795726110244
1859.64,1224.207903160399
5028.38,5152.772320708351
2173.92,1741.5459164057766
1741.02,1138.35558689339
2793.36,3026.519679828398
2297.34,2363.981619473374
3870.9,4372.19338923806
8140.34,7672.80696062911
8299.2,7865.3039061456675
2500.82,2380.586475237651
1047.36,168.5050937762453
1834.05,1345.6932961273542
3927.0,4274.665899172076
2207.0,2103.358989113355
3033.81,3397.3984077833193
4054.72,4066.138331426593
3659.32,3601.7928037661095
2797.2,2885.1453895013565
1983.2,1773.8844446254761
3822.98,3806.410908716014
2626.92,2509.4568984932066
3161.88,3088.832733992027
2476.6,2342.360550441108
2265.76,2082.2719425291352
3487.08,3404.2566240129418
1999.08,1541.7861930628806
1805.4,1963.9314711538946
3712.8,3834.3424469884158
4517.82,4700.6048005395405
1146.63,479.80558089786336
2648.16,2639.0456555469864
4405.5,4566.7682107772725
10771.6,9396.98535934532
1671.36,1735.2687560368831
3097.56,3118.8683850285797
4600.83,5914.799096518702
8117.46,7616.19754853087
2094.0,1786.9577466669407
2917.8,2953.456147726165
3154.59,3433.833002312911
9100.0,8485.680990444163
3828.0,3874.101498909071
1490.48,758.7242354683522
1079.16,413.5751610209081
3049.11,3179.855536695004
5815.04,7081.136822128277
